country_code,employee_number,year,exports_value_in_dollars
AUT,ALLSIZE,2008,180553
AUT,ALLSIZE,2009,136438
AUT,ALLSIZE,2010,152413
AUT,ALLSIZE,2011,177190
AUT,ALLSIZE,2012,166619
AUT,ALLSIZE,2013,175109
AUT,ALLSIZE,2014,178011
AUT,ALLSIZE,2015,152781
AUT,ALLSIZE,2016,151996
BEL,ALLSIZE,2008,468399
BEL,ALLSIZE,2009,369507
BEL,ALLSIZE,2010,407309
BEL,ALLSIZE,2011,475036
BEL,ALLSIZE,2012,437400
BEL,ALLSIZE,2013,459508
BEL,ALLSIZE,2014,461727
BEL,ALLSIZE,2015,396861
BEL,ALLSIZE,2016,398332
CAN,ALLSIZE,2008,384643.867
CAN,ALLSIZE,2009,257649
CAN,ALLSIZE,2010,349449
CAN,ALLSIZE,2011,404663
CAN,ALLSIZE,2012,407959
CAN,ALLSIZE,2013,411298
CAN,ALLSIZE,2014,424857
CAN,ALLSIZE,2015,363439
CAN,ALLSIZE,2016,342442
CAN,ALLSIZE,2017,372419
CZE,ALLSIZE,2008,146081
CZE,ALLSIZE,2009,114592
CZE,ALLSIZE,2010,135054
CZE,ALLSIZE,2011,159959
CZE,ALLSIZE,2012,162088
CZE,ALLSIZE,2013,162247
CZE,ALLSIZE,2014,174843
CZE,ALLSIZE,2015,157879
CZE,ALLSIZE,2016,162606
DNK,ALLSIZE,2008,116449
DNK,ALLSIZE,2009,93537.4
DNK,ALLSIZE,2010,97290.8
DNK,ALLSIZE,2011,111707
DNK,ALLSIZE,2012,105471
DNK,ALLSIZE,2013,111051
DNK,ALLSIZE,2014,111505
DNK,ALLSIZE,2015,95481
DNK,ALLSIZE,2016,102294
FIN,ALLSIZE,2008,96063.6
FIN,ALLSIZE,2009,62601.7
FIN,ALLSIZE,2010,69450.9
FIN,ALLSIZE,2011,79036.3
FIN,ALLSIZE,2012,73080.4
FIN,ALLSIZE,2013,74416.6
FIN,ALLSIZE,2014,74261.7
FIN,ALLSIZE,2015,59759.8
FIN,ALLSIZE,2016,57875.3
FRA,ALLSIZE,2008,604384
FRA,ALLSIZE,2009,473365
FRA,ALLSIZE,2010,514989
FRA,ALLSIZE,2011,586829
FRA,ALLSIZE,2012,570302
FRA,ALLSIZE,2013,582027
FRA,ALLSIZE,2014,581459
FRA,ALLSIZE,2015,507099
FRA,ALLSIZE,2016,502777
DEU,ALLSIZE,2008,1440300
DEU,ALLSIZE,2009,1115540
DEU,ALLSIZE,2010,1257710
DEU,ALLSIZE,2011,1472010
DEU,ALLSIZE,2012,1405160
DEU,ALLSIZE,2013,1451430
DEU,ALLSIZE,2014,1492620
DEU,ALLSIZE,2015,1326250
DEU,ALLSIZE,2016,1333450
GRC,ALLSIZE,2010,21709.6
GRC,ALLSIZE,2011,33776.3
GRC,ALLSIZE,2012,35434.1
GRC,ALLSIZE,2013,36241.7
GRC,ALLSIZE,2014,35981.7
GRC,ALLSIZE,2015,28642.2
GRC,ALLSIZE,2016,28166.7
HUN,ALLSIZE,2008,108193
HUN,ALLSIZE,2009,82667
HUN,ALLSIZE,2010,95385.1
HUN,ALLSIZE,2011,112220
HUN,ALLSIZE,2012,103550
HUN,ALLSIZE,2013,107489
HUN,ALLSIZE,2014,110460
HUN,ALLSIZE,2015,98476.7
HUN,ALLSIZE,2016,101826
IRL,ALLSIZE,2010,116964
IRL,ALLSIZE,2011,126238
IRL,ALLSIZE,2012,117339
IRL,ALLSIZE,2013,116753
IRL,ALLSIZE,2014,121021
IRL,ALLSIZE,2015,124667
IRL,ALLSIZE,2016,130781
ITA,ALLSIZE,2008,540544
ITA,ALLSIZE,2009,405273
ITA,ALLSIZE,2010,446790
ITA,ALLSIZE,2011,522070
ITA,ALLSIZE,2012,500864
ITA,ALLSIZE,2013,518131
ITA,ALLSIZE,2014,529198
ITA,ALLSIZE,2015,457262
ITA,ALLSIZE,2016,461565
KOR,ALLSIZE,2012,546432
KOR,ALLSIZE,2013,558334
KOR,ALLSIZE,2014,571510
KOR,ALLSIZE,2015,525580
LUX,ALLSIZE,2008,25567.1
LUX,ALLSIZE,2009,20529.1
LUX,ALLSIZE,2010,19939.3
LUX,ALLSIZE,2011,22345
LUX,ALLSIZE,2012,18777.7
LUX,ALLSIZE,2013,18367.4
LUX,ALLSIZE,2014,19107.4
LUX,ALLSIZE,2015,17104.8
LUX,ALLSIZE,2016,15780.5
NLD,ALLSIZE,2009,495866
NLD,ALLSIZE,2010,573663
NLD,ALLSIZE,2011,676219
