LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPHRWKD,TOT,USD,A,1970,26.841344,NA
AUS,GDPHRWKD,TOT,USD,A,1971,27.511634,NA
AUS,GDPHRWKD,TOT,USD,A,1972,28.11866,NA
AUS,GDPHRWKD,TOT,USD,A,1973,28.698975,NA
AUS,GDPHRWKD,TOT,USD,A,1974,28.238353,NA
AUS,GDPHRWKD,TOT,USD,A,1975,29.283786,NA
AUS,GDPHRWKD,TOT,USD,A,1976,29.771893,NA
AUS,GDPHRWKD,TOT,USD,A,1977,29.737149,NA
AUS,GDPHRWKD,TOT,USD,A,1978,30.993761,NA
AUS,GDPHRWKD,TOT,USD,A,1979,31.1521,NA
AUS,GDPHRWKD,TOT,USD,A,1980,31.5015,NA
AUS,GDPHRWKD,TOT,USD,A,1981,32.410372,NA
AUS,GDPHRWKD,TOT,USD,A,1982,32.798311,NA
AUS,GDPHRWKD,TOT,USD,A,1983,33.697552,NA
AUS,GDPHRWKD,TOT,USD,A,1984,34.438392,NA
AUS,GDPHRWKD,TOT,USD,A,1985,34.352588,NA
AUS,GDPHRWKD,TOT,USD,A,1986,34.374815,NA
AUS,GDPHRWKD,TOT,USD,A,1987,35.113088,NA
AUS,GDPHRWKD,TOT,USD,A,1988,35.007466,NA
AUS,GDPHRWKD,TOT,USD,A,1989,35.123825,NA
AUS,GDPHRWKD,TOT,USD,A,1990,35.681528,NA
AUS,GDPHRWKD,TOT,USD,A,1991,36.501738,NA
AUS,GDPHRWKD,TOT,USD,A,1992,37.624969,NA
AUS,GDPHRWKD,TOT,USD,A,1993,37.706627,NA
AUS,GDPHRWKD,TOT,USD,A,1994,37.791395,NA
AUS,GDPHRWKD,TOT,USD,A,1995,38.92517,NA
AUS,GDPHRWKD,TOT,USD,A,1996,40.274168,NA
AUS,GDPHRWKD,TOT,USD,A,1997,41.638183,NA
AUS,GDPHRWKD,TOT,USD,A,1998,42.956218,NA
AUS,GDPHRWKD,TOT,USD,A,1999,43.322277,NA
AUS,GDPHRWKD,TOT,USD,A,2000,43.813437,NA
AUS,GDPHRWKD,TOT,USD,A,2001,45.338482,NA
AUS,GDPHRWKD,TOT,USD,A,2002,46.025462,NA
AUS,GDPHRWKD,TOT,USD,A,2003,47.089456,NA
AUS,GDPHRWKD,TOT,USD,A,2004,46.931496,NA
AUS,GDPHRWKD,TOT,USD,A,2005,47.099677,NA
AUS,GDPHRWKD,TOT,USD,A,2006,47.342066,NA
AUS,GDPHRWKD,TOT,USD,A,2007,47.873036,NA
AUS,GDPHRWKD,TOT,USD,A,2008,49.523676,NA
AUS,GDPHRWKD,TOT,USD,A,2009,49.111719,NA
AUS,GDPHRWKD,TOT,USD,A,2010,49.886548,NA
AUS,GDPHRWKD,TOT,USD,A,2011,50.465688,NA
