Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1087875.7,12264016.6,1300000,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,85027932.96,197821229.1,113463687.2,467541899.4,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,226371388.8,250618095,-28775856.42,27551267.63,162463551.5,135921173.4,-75226540.68,161066979.1,133545121.2,174452611.8
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,421709865.6,326490932.4,218888245.7,176559138.7,898515563.3,316834707.3,411261082.7,67103622.21,168439069.5,-12312370.24,483620276.5,372130053.3,581698643.4,86246455.02,598858245.3,106432296.3,411045300.7,279804684.3,536594623.8,400488555.9,88673056.81,1241968646,652324976.3,839509681.8,1187864680,2662958896,2087426790,5757027923,4121573935,6254803631,4315007316,12205013827,6464121933,8555149192,7979691821,10333884247,7234542920,16122284836,22483230617,18484265032,13934880641,17538712524,24636342686,21534249244,27681419157,28774229517,16660273342,10108286477,13588979646,14996445733,12890634683,53446045660,-6026349664
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,0,0,0,0,400000,0,0,10,-280000,360000,-20000,20000,-93326.6,690000,-1460000,-10000,6040000,170000,680000,50000000,57799999.9,186900000,271000000,238000000,188690000,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7,23404553.65,12970147.98,20600976.1,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,407459999.6,388679999.7,476659999,642409999.5,518269117.7,969105150.5,605378805.5,778790474.9,751399198.6,785673507.8,-228089204.8,1172896062,878530340.4,768217164.3,338951391,893620026.8,204429670.6,1037919132,973621876.7,2569136448,1073307824,837652709.3,1214631404,1757936796,2389930551,945428066.2,1182474450,1622432325,1897977339,2391058452,2560094805,3224338688,4408519415,5262166818,4653748700,9278129442,9202356526,13030657207,16317443290,18159745851,18874323023,24501138032,20912687292,19157553412,16598028197,15643172769,13937041742,17662420840,15492839383,12452737928,10906185554,20441331866,127277227.9
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2399999.9,1860000,2160000,7540000,6690000,50000,-1169999.9,,1870000,2000000,37420000,49049999.9,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748,-1866468113,-4355116553,-6142248848
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714,1345415234,1089898208,1048706682,917994575.8,1254150556,1149927986,989578334.8,1044389555,1022757857,1204383364,1201022154,1069744880,1218586452,
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,489809999.8,47852734.62,267977643.7,-691490283.8,-3399182607,1474964060,406538235.2,924430386.8,638527390.9,-137420541.9,-3211683186,7107307475,11797986204,5637820866,6253971511,2022484766,2333917876,12216556.79,1628746427,1312830828,3053835682,2123621591,3477597029,4331542878,4909888144,299885485.9,3662695409,8973444817,9641399373,2881569839,3840491004,8899597181,6159576371,14595559434,21373075475,46048851171,69481323910,81836608644,88751312330,76654497098,70001315696,44868032639,50079903886,41259115295,31042743760,25507493631,32582348458,30134170487,34280584721,38691054584,37083545984,54104486022,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7780000,6940000,10510000,3410000,1629999.9,15949999.9,49430000,112239999.9,39119999.9,64579999.9,97640000,-16940000,95060000,45539999.9,170240000,-220960000,110209999.9,46719999.9,188889999.9,38789999.9,-115819999.9,25940000,129720000,401319999.9,62460000,399850000,300519999.9,232430000,257660000,-985340000,-506329999.9,1183840000,95299999.9,4255956433,10003500000,10899931926,12805990470,14186521443,5062972005,1134288135,8796769641,7152095826,9566651351,9764914527,11071537020,8550901847,9604773000,10354223000,10385286000,17874659401,19884468665,20667120490,
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,89769999.9,125670000,71719999.9,100250000,17920000,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523,2793085410,3634931878,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537347786,6473157762,9725553130,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4722648813,6782348887,
