LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,MFP,TOT,AGRWTH,A,1985,-0.60803,
AUS,MFP,TOT,AGRWTH,A,1986,-0.733171,
AUS,MFP,TOT,AGRWTH,A,1987,1.598455,
AUS,MFP,TOT,AGRWTH,A,1988,-0.696843,
AUS,MFP,TOT,AGRWTH,A,1989,-0.300563,
AUS,MFP,TOT,AGRWTH,A,1990,-0.24324,
AUS,MFP,TOT,AGRWTH,A,1991,0.712584,
AUS,MFP,TOT,AGRWTH,A,1992,2.282605,
AUS,MFP,TOT,AGRWTH,A,1993,0.361978,
AUS,MFP,TOT,AGRWTH,A,1994,0.152663,
AUS,MFP,TOT,AGRWTH,A,1995,2.012949,
AUS,MFP,TOT,AGRWTH,A,1996,2.316946,
AUS,MFP,TOT,AGRWTH,A,1997,2.322403,
AUS,MFP,TOT,AGRWTH,A,1998,2.351387,
AUS,MFP,TOT,AGRWTH,A,1999,0.382497,
AUS,MFP,TOT,AGRWTH,A,2000,0.104617,
AUS,MFP,TOT,AGRWTH,A,2001,2.38085,
AUS,MFP,TOT,AGRWTH,A,2002,0.556915,
AUS,MFP,TOT,AGRWTH,A,2003,1.444126,
AUS,MFP,TOT,AGRWTH,A,2004,-0.807481,
AUS,MFP,TOT,AGRWTH,A,2005,-0.541687,
AUS,MFP,TOT,AGRWTH,A,2006,-0.092934,
AUS,MFP,TOT,AGRWTH,A,2007,0.135219,
AUS,MFP,TOT,AGRWTH,A,2008,1.436071,
AUS,MFP,TOT,AGRWTH,A,2009,-1.439183,
AUS,MFP,TOT,AGRWTH,A,2010,0.308807,
AUS,MFP,TOT,AGRWTH,A,2011,0.22302,
AUS,MFP,TOT,AGRWTH,A,2012,0.799363,
AUS,MFP,TOT,AGRWTH,A,2013,0.687354,
AUS,MFP,TOT,AGRWTH,A,2014,-0.081471,
AUS,MFP,TOT,AGRWTH,A,2015,1.803537,
AUS,MFP,TOT,AGRWTH,A,2016,-0.19349,
AUS,MFP,TOT,AGRWTH,A,2017,0.914059,
AUS,MFP,TOT,AGRWTH,A,2018,-0.027473,
AUS,MFP,TOT,AGRWTH,A,2019,0.308568,
AUS,MFP,TOT,AGRWTH,A,2020,1.366577,
AUS,MFP,TOT,AGRWTH,A,2021,1.164439,
AUT,MFP,TOT,AGRWTH,A,1989,2.267096,
AUT,MFP,TOT,AGRWTH,A,1990,2.067615,
