Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000959489,0.000698232,0.000720703,0.000760651,0.000906167,0.001314053,0.001525773,0.00153974,0.0019564,0.001094297,0.001569607,0.001926898,0.001490306,0,0,0,0,0,0,0,0,0,
Africa Eastern and Southern,AFE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0.000246854,0.101744024,0.101024912,0.064412243,0.168572806,0.863312852,0.428075178,0.195364577,0.581598211,0.831818849,1.188770234,0.420163555,0.902453068,0.779882926,1.309556177,1.560830227,0.804814598,1.236623189,1.216807806,1.060008608,1.17296182,1.498909971,1.37175254,0.719965377,1.270937822,2.911621207,2.385836981,2.848318901,2.187405164,2.897905564,4.575400604,5.340224147,6.422175189,10.10432798,4.61965618,5.734249103,6.954690007,5.244950007,4.955730352,3.862057874,1.504776038,1.276455404,1.92216803,2.702600805,2.198488971,1.236778935,2.073642118,
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.026566295,0.045310814,0.055766377,0.076334157,0.427935477,0.520410843,0.646363013,0.687944964,0.644109079,1.29349953,1.350058878,1.354749399,,,,,,,,,,,,,,,,,,,,,0.030789276,0.025632803,0.02560516,0.02584762,0.021407037,0.014446464,0.015736314,0.005241738,0.005149456,0.006602395,0.109823884,0.067290162,0.040743866,0.0136358,0.00944508,0.013427081,0.018854417,0.01277729,0.005177619,0.017869506,
Africa Western and Central,AFW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0.316761058,1.053496959,1.711647286,18.93952068,12.79375404,11.97028632,14.16917618,10.89466371,27.54755365,16.70439201,3.856941501,1.590680508,4.416355914,6.989632053,8.106925662,2.897255735,5.685427949,4.829063375,11.29407775,13.0865513,7.956715207,9.286296236,10.71077989,9.812051166,9.011855574,9.398320045,8.898515541,4.236235443,6.436676718,15.26990409,10.02279153,8.07443226,8.077557849,10.17278849,14.74996733,13.49031528,12.5067629,14.01745502,7.55899162,10.7549986,13.76905909,12.10836378,9.037258686,6.679162677,2.674030892,2.435424626,4.601601732,6.514106125,5.644609131,2.887034131,5.223281791,
Angola,AGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,19.54161068,10.42624711,4.09463309,11.21929928,14.09946656,14.1586247,6.318531069,15.17078195,14.40459476,21.88260547,28.02682565,16.8761491,27.02565488,34.51852655,40.57550948,41.01881567,39.07414397,37.34902325,21.74768001,38.52426984,57.51348396,42.59157668,31.76102925,27.11626575,32.96269551,42.22067832,40.27865209,45.39760365,52.10135812,29.77829952,37.70850918,38.61843582,34.33283895,29.00148461,21.73660745,12.71873031,19.74839883,24.71100601,30.73040273,27.50482864,18.57195951,28.27443988,
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,5.799113572,5.357207137,1.949870762,3.104080289,2.378539262,3.345587891,4.845877394,3.617481466,4.678143305,2.649238263,1.522284881,1.159516028,1.160702594,1.088356446,0.23349463,0.494725404,1.071500565,0.699922138,0.687177627,0.692722775,0.793153163,1.020953746,1.192449217,1.249434028,1.604654693,0.923660116,1.309543172,2.454889085,2.866351043,3.033924075,3.122076157,1.452606185,0.884410718,1.126142276,1.469833819,1.424371096,0.582225701,1.042183692,
Andorra,AND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,12.84368791,12.71531847,15.42037989,20.23102642,46.60640726,37.70023967,38.13971332,36.07264355,33.03501483,57.42112513,50.39458774,38.51827414,25.50943433,24.45647547,24.15212752,21.03492925,13.03221794,16.15958698,15.91326244,21.97419434,22.17936241,17.46123589,19.21687888,18.58308761,16.7718402,16.9477624,19.95623445,17.5096654,11.88646772,15.85652289,24.80738194,19.8610946,19.23140365,21.73706775,25.85078,30.92936396,31.55356169,29.30636257,33.04804231,20.71615612,24.11561528,32.6463204,32.12094854,29.61247594,26.25570696,15.25119008,12.79674677,16.13848243,21.10820713,18.48717982,11.44975441,17.20166455,
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,37.41796031,36.87828761,30.86903458,31.45200672,56.0299308,41.90172229,33.03702744,22.87973863,23.69321407,25.75202602,23.71133091,17.01229177,22.89782562,20.35677749,28.61301733,35.31561199,23.51243367,23.31426562,20.80050026,16.96678976,16.34734639,19.11128271,16.96460906,10.83230146,13.37443826,20.84405615,15.806239,14.64532406,17.80570101,20.91820685,23.94173699,25.88202722,23.71834557,26.67204274,18.41826324,22.67973787,28.5990789,27.06485203,26.24806405,22.9458647,13.10253444,11.08075636,13.49857317,17.0989945,15.68159155,10.4940977,15.67309453,
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.183779149,0.312886775,0.359047344,0.412805282,1.658857738,2.118899646,2.359670938,1.933852571,2.190197193,5.028635494,5.842412264,4.796266523,2.648582842,2.931996699,3.685707618,3.006574458,0.971462833,1.548510524,1.070394104,2.739245073,2.182721048,0.893993393,0.91149017,0.901892908,0.882210245,1.113683382,1.420932877,1.271586786,0.676255461,1.182229116,2.039212319,1.578289617,4.588011023,3.795263575,3.628150456,4.360830444,4.490890647,3.70577772,4.039000966,2.124534881,2.30522042,2.745331465,2.556498724,2.253872986,2.092705651,0.693912055,0.549552012,0.663565866,1.310953407,1.290995655,0.677055566,1.544382289,
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
